zip_code,safmr,safmr_label,cost_sro,cost_0br,cost_1br,cost_2br,cost_3br,cost_4br,cost_5br,cost_6br,cost_7br,cost_8br
"19143",1,Traditional Rents,847,1130,1240,1480,1780,2030,2334,2639,2943,3248
"19151",1,Traditional Rents,847,1130,1240,1480,1780,2030,2334,2639,2943,3248
"19137",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19129",3,Opportunity Rents,1342,1790,1970,2350,2830,3220,3703,4186,4669,5152
"19115",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19103",4,High Opportunity Rents,1522,2030,2270,2700,3250,3700,4255,4810,5365,5920
"19142",1,Traditional Rents,847,1130,1240,1480,1780,2030,2334,2639,2943,3248
"19131",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19107",4,High Opportunity Rents,1522,2030,2270,2700,3250,3700,4255,4810,5365,5920
"19124",1,Traditional Rents,847,1130,1240,1480,1780,2030,2334,2639,2943,3248
"19133",1,Traditional Rents,847,1130,1240,1480,1780,2030,2334,2639,2943,3248
"19125",3,Opportunity Rents,1342,1790,1970,2350,2830,3220,3703,4186,4669,5152
"19126",1,Traditional Rents,847,1130,1240,1480,1780,2030,2334,2639,2943,3248
"19128",3,Opportunity Rents,1342,1790,1970,2350,2830,3220,3703,4186,4669,5152
"19136",1,Traditional Rents,847,1130,1240,1480,1780,2030,2334,2639,2943,3248
"19154",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19114",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19116",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19140",1,Traditional Rents,847,1130,1240,1480,1780,2030,2334,2639,2943,3248
"19153",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19152",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19146",3,Opportunity Rents,1342,1790,1970,2350,2830,3220,3703,4186,4669,5152
"19120",1,Traditional Rents,847,1130,1240,1480,1780,2030,2334,2639,2943,3248
"19134",1,Traditional Rents,847,1130,1240,1480,1780,2030,2334,2639,2943,3248
"19145",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19119",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19150",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19118",3,Opportunity Rents,1342,1790,1970,2350,2830,3220,3703,4186,4669,5152
"19149",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19144",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19106",4,High Opportunity Rents,1522,2030,2270,2700,3250,3700,4255,4810,5365,5920
"19139",1,Traditional Rents,847,1130,1240,1480,1780,2030,2334,2639,2943,3248
"19121",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19112",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19109",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19148",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19104",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19102",4,High Opportunity Rents,1522,2030,2270,2700,3250,3700,4255,4810,5365,5920
"19147",4,High Opportunity Rents,1522,2030,2270,2700,3250,3700,4255,4810,5365,5920
"19141",1,Traditional Rents,847,1130,1240,1480,1780,2030,2334,2639,2943,3248
"19138",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19132",1,Traditional Rents,847,1130,1240,1480,1780,2030,2334,2639,2943,3248
"19122",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19111",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
"19123",4,High Opportunity Rents,1522,2030,2270,2700,3250,3700,4255,4810,5365,5920
"19127",3,Opportunity Rents,1342,1790,1970,2350,2830,3220,3703,4186,4669,5152
"19130",4,High Opportunity Rents,1522,2030,2270,2700,3250,3700,4255,4810,5365,5920
"19135",2,Mid Range Rents,1042,1390,1540,1830,2200,2510,2886,3263,3639,4016
